Time,Event
0.0,Занято
201.6667394184506,Свободно
217.2667424168468,Подход
398.26680552262746,Занято
399.73347514120354,Свободно
407.8668088696744,Подход
596.4002079352905,Занято
597.5335441043163,Свободно
